"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",101,441,84,40,26,14,20,13,14,14,12,7,174
"2004",65,405,86,42,23,20,10,13,12,9,18,9,147
"2005",88,553,108,47,31,31,25,11,18,17,16,10,212
"2006",113,527,122,41,27,20,19,12,13,17,13,13,208
"2007",109,578,120,29,27,26,25,20,21,22,14,13,221
"2008",126,554,120,37,38,28,14,23,18,23,12,8,214
"2009",137,544,144,41,36,20,20,19,19,14,20,9,188
"2010",115,598,168,45,32,36,28,18,26,17,14,16,177
"2011",123,572,164,40,27,17,22,20,19,15,12,18,194
"2012",138,558,145,47,29,26,20,16,18,18,12,16,187
"2013",56,412,75,38,25,24,23,21,12,10,9,12,133
"2014",105,573,121,53,24,37,30,32,17,13,27,18,183
"2015",100,566,115,52,30,32,30,13,13,8,16,14,213
"2016",112,580,113,37,37,20,33,20,25,15,11,14,229
"2017",121,587,131,47,27,21,16,21,19,13,20,11,245
"2018",109,592,121,48,30,24,25,18,19,22,17,12,236
"2019",58,290,67,17,12,14,16,11,18,7,6,8,98
"2021",106,578,107,38,39,30,22,17,20,18,19,9,232
"2022",83,552,116,39,34,21,18,17,15,9,15,16,228
"2023",101,561,131,30,28,16,26,11,20,11,24,17,220
"2024",75,583,138,51,34,27,26,18,19,13,13,15,198
"2025",96,603,118,43,44,23,24,23,26,13,19,21,220
"Average across years",101.681818181818,536.681818181818,118.818181818182,41,30,23.9545454545455,22.3636363636364,17.5909090909091,18.2272727272727,14.4545454545455,15.4090909090909,13,198.045454545455
