species,2025
arrowtooth flounder,4
aurora rockfish,10
bank rockfish,50
big skate,2
black rockfish,15
blackgill rockfish,50
blue and deacon rockfish,15
bocaccio,25
cabezon,15
California scorpionfish,25
canary rockfish,30
chilipepper,10
copper rockfish,50
cowcod,25
darkblotched rockfish,10
Dover sole,2
English sole,2
flathead sole,10
greenspotted rockfish,25
greenstriped rockfish,5
kelp greenling,15
lingcod north,4
lingcod south,15
longnose skate,1
longspine thornyhead,2
Pacific cod,15
Pacific ocean perch,25
Pacific sanddab,2
Pacific spiny dogfish,4
petrale sole,3
quillback rockfish,15
redbanded rockfish,25
redstripe rockfish,50
rex sole,2
rosethorn rockfish,15
rougheye and blackspotted rockfish,50
sablefish,4
sharpchin rockfish,25
shortraker rockfish,15
shortspine thornyhead,2
silvergray rockfish,50
splitnose rockfish,4
squarespot rockfish,25
starry rockfish,15
stripetail rockfish,3
vermilion and sunset rockfish,50
widow rockfish,50
yelloweye rockfish,50
yellowmouth rockfish,25
yellowtail rockfish north,25
yellowtail rockfish south,50
