"","species","2021","2022","2023","2024","2025"
"1","arrowtooth flounder",629,681,842,759,741
"2","aurora rockfish",780,736,719,523,587
"3","bank rockfish",24,24,64,105,117
"4","big skate",139,167,164,116,114
"5","black rockfish",6,0,0,0,0
"6","arrowtooth flounder",629,681,842,759,741
"7","aurora rockfish",780,736,719,523,587
"8","bank rockfish",24,24,64,105,117
"9","big skate",139,167,164,116,114
"10","black rockfish",6,0,0,0,0
"11","blackgill rockfish",423,561,392,454,411
"12","blue and deacon rockfish",0,0,0,0,0
"13","bocaccio",555,367,347,505,625
"14","cabezon",0,0,0,0,0
"15","California scorpionfish",211,201,165,105,130
"16","canary rockfish",469,491,401,292,337
"17","chilipepper",770,673,585,700,791
"18","copper rockfish",0,1,0,0,0
"19","cowcod",33,32,32,54,100
"20","darkblotched rockfish",622,851,814,742,630
"21","Dover sole",1122,1065,1102,1132,1163
"22","English sole",579,527,552,523,568
"23","flathead sole",199,165,320,233,239
"24","greenspotted rockfish",322,350,287,372,233
"25","greenstriped rockfish",629,617,593,676,576
"26","kelp greenling",4,5,10,13,3
"27","lingcod north",457,334,338,490,391
"28","lingcod south",244,229,173,224,297
"29","longnose skate",403,1,0,374,423
"30","longspine thornyhead",447,385,424,429,464
"31","Pacific cod",24,75,117,72,75
"32","Pacific ocean perch",819,1005,662,659,578
"33","Pacific sanddab",460,431,445,434,460
"34","Pacific spiny dogfish",312,3,0,258,333
"35","petrale sole",1243,772,787,775,869
"36","quillback rockfish",12,13,5,10,7
"37","redbanded rockfish",226,179,301,209,192
"38","redstripe rockfish",207,136,142,107,64
"39","rex sole",825,407,419,394,406
"40","rosethorn rockfish",443,329,398,412,242
"41","rougheye and blackspotted rockfish",149,43,79,59,113
"42","sablefish",2184,1668,1752,1739,1755
"43","sharpchin rockfish",572,305,295,618,409
"44","shortraker rockfish",0,3,3,9,1
"45","shortspine thornyhead",682,609,648,644,692
"46","silvergray rockfish",5,48,24,91,42
"47","splitnose rockfish",555,485,407,427,422
"48","squarespot rockfish",111,139,102,70,92
"49","starry rockfish",0,5,2,11,2
"50","stripetail rockfish",718,385,381,415,409
"51","vermilion and sunset rockfish",204,190,243,78,193
"52","widow rockfish",66,109,110,347,135
"53","yelloweye rockfish",66,51,53,56,40
"54","yellowmouth rockfish",0,10,25,42,31
"55","yellowtail rockfish north",309,261,495,425,303
"56","yellowtail rockfish south",74,1,2,0,56
