"Species","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2021","2022","2023","2024","2025"
"arrowtooth flounder",4502,2748,3957,3035,3552,3251,3469,3695,3060,3032,2534,3650,3851,3257,2218,1761,754,1399,1588,1909,1747,1740
"aurora rockfish",1120,1087,1685,1716,1694,1708,1897,1634,1522,1684,851,1497,2059,1973,2070,1759,628,1554,1509,1402,1007,981
"bank rockfish",6,106,96,257,75,31,84,170,138,31,32,145,60,200,39,311,245,24,24,64,105,140
"big skate",197,262,328,0,95,159,305,466,360,395,316,552,546,422,496,331,180,334,549,407,201,180
"black rockfish",0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,0,0,6,0,0,0,0
"blackgill rockfish",129,449,398,762,298,339,553,522,365,508,419,854,719,379,596,970,194,606,771,392,554,542
"blue and deacon rockfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bocaccio",108,480,274,262,157,110,94,272,105,817,738,1020,672,1447,952,814,539,679,523,424,722,832
"cabezon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"California scorpionfish",74,156,226,47,191,50,347,58,239,94,259,93,163,139,309,289,215,335,465,243,211,157
"canary rockfish",422,483,530,623,673,792,306,495,573,851,512,1466,1064,1055,970,719,544,661,694,653,649,674
"chilipepper",2487,3283,3704,2679,2495,2209,2112,2091,1058,1251,1083,1729,1031,1445,905,987,659,1383,1167,1027,1168,1407
"copper rockfish",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"cowcod",13,64,30,25,25,16,23,60,29,73,26,77,30,65,34,118,89,33,33,32,55,100
"darkblotched rockfish",2375,1062,1983,1925,2086,1647,2298,2239,1828,2205,1548,1517,2458,2097,1735,1269,822,1118,2310,2220,1983,1405
"Dover sole",22889,17399,17695,13516,11265,6245,3578,3236,8423,8753,7317,10127,10046,10160,6233,6034,3033,5637,5314,5189,5465,5754
"English sole",8116,8192,8372,5333,3945,3501,3354,2467,4454,4617,3525,5222,5105,5223,3549,2926,1413,2662,2471,2580,2375,2670
"flathead sole",1521,519,593,421,137,157,191,406,554,256,291,980,1654,1237,673,516,202,334,293,617,468,387
"greenspotted rockfish",371,562,231,465,653,557,672,711,268,401,246,295,248,899,334,399,208,356,412,380,492,285
"greenstriped rockfish",3444,2668,3899,3130,2359,1866,1799,2322,1933,2198,1470,2203,2001,2367,1919,2497,1167,2036,1821,1717,2014,1668
"kelp greenling",10,8,1,8,7,1,6,5,13,19,10,10,11,30,19,24,0,4,5,10,13,3
"lingcod north",882,627,770,782,557,553,575,1121,1225,1053,683,1439,945,1003,986,796,356,1110,818,1007,1458,979
"lingcod south",436,740,328,230,88,610,527,799,628,1132,639,1446,886,750,639,759,196,365,253,255,263,406
"longnose skate",2655,2610,3275,0,861,3383,3116,3462,2991,3639,2490,3708,4067,4004,3691,3611,1655,3242,3107,3276,2658,2982
"longspine thornyhead",15475,11123,13530,9081,6198,3635,3110,3082,5188,4960,3285,4851,4819,4863,4640,4856,1954,4376,3789,4206,4327,4706
"Pacific cod",783,290,199,166,177,89,123,404,301,154,175,240,328,231,96,45,69,24,75,189,114,109
"Pacific ocean perch",1426,565,527,659,628,539,471,907,921,1175,732,991,1165,1150,976,648,345,821,1057,1117,941,1010
"Pacific sanddab",8927,10705,10171,5861,4319,4536,2799,1507,4576,4593,3302,5017,5026,4571,3063,2615,1235,2343,2343,2280,2270,2309
"Pacific spiny dogfish",3792,2531,3570,3891,2421,2902,1661,1727,1637,1508,613,1476,670,771,539,775,489,759,788,763,598,748
"petrale sole",2831,3343,4555,3646,3409,3061,3386,6045,6176,5336,3421,4794,4228,4385,4265,3784,1797,3769,3437,3679,3353,4122
"quillback rockfish",3,0,2,3,1,37,3,2,6,46,1,21,8,9,14,21,16,12,13,5,10,7
"redbanded rockfish",272,158,171,152,178,146,142,167,211,149,189,223,188,114,270,273,116,226,179,309,209,192
"redstripe rockfish",1068,527,240,507,356,333,407,61,597,224,408,505,305,647,317,259,168,310,213,233,134,64
"rex sole",10843,13953,16023,11565,9621,7249,4124,2653,6988,7406,5720,8675,8503,8667,5241,4843,2424,4119,3993,4046,4031,4312
"rosethorn rockfish",1602,1003,928,1578,1320,811,1144,1240,1278,761,809,1010,725,1168,1230,675,227,779,532,650,704,387
"rougheye and blackspotted rockfish",112,115,259,102,108,122,126,89,115,87,68,42,185,105,179,97,58,149,43,81,59,114
"sablefish",5799,4556,5572,4833,4470,3973,3688,4230,4674,4381,3280,4311,4910,4544,4885,4774,2226,6297,6184,6663,6794,5904
"sharpchin rockfish",2355,1176,871,1283,975,923,938,574,1307,997,874,1421,1093,854,846,723,443,908,487,512,1195,552
"shortraker rockfish",3,8,8,0,0,0,0,0,0,0,1,3,18,0,3,2,0,0,3,3,9,1
"shortspine thornyhead",7693,6679,8048,6200,5499,4697,4196,3859,4697,4678,3089,4582,4496,4604,4742,4986,2398,4690,4202,4608,4657,4741
"silvergray rockfish",34,19,51,7,22,20,36,47,116,46,44,16,80,5,75,30,105,5,48,24,91,42
"splitnose rockfish",6633,5135,4467,3592,3363,2918,2968,2021,2151,1915,1407,1959,1858,1923,1891,1791,1045,1999,2077,1628,1943,1680
"squarespot rockfish",30,159,245,152,424,239,390,185,77,32,514,232,247,329,322,240,206,184,340,217,169,102
"starry rockfish",1,3,3,1,6,2,18,2,1,3,2,0,0,2,9,10,16,0,5,2,12,2
"stripetail rockfish",5915,4657,4319,3269,2234,1809,2057,2105,2616,2119,1200,2192,2096,2065,2423,2226,1364,2514,1820,1816,2057,2254
"vermilion and sunset rockfish",62,9,49,27,120,74,213,107,28,471,395,37,226,100,243,217,172,283,234,289,78,211
"widow rockfish",216,84,78,172,92,26,141,240,313,181,364,349,149,888,310,410,219,66,125,159,485,200
"yelloweye rockfish",68,21,40,43,26,43,39,52,47,44,37,92,51,91,45,50,34,66,51,53,56,40
"yellowmouth rockfish",141,0,23,0,0,0,0,1,54,3,10,1,13,85,29,149,0,0,10,64,42,49
"yellowtail rockfish north",737,524,875,366,958,627,307,1089,786,887,379,1358,818,2256,1750,856,538,395,417,714,691,482
"yellowtail rockfish south",112,102,172,9,0,63,150,42,2,18,22,170,2,5,12,60,30,98,1,2,0,86
