Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,523,19,18,0,0,0,0,0,0,0,0,0,0
2004,462,8,8,0,0,0,0,0,0,0,0,0,0
2005,628,13,12,0,0,0,0,0,0,0,0,0,0
2006,627,13,12,1,0,0,0,0,0,0,0,0,0
2007,675,12,12,0,0,0,0,0,0,0,0,0,0
2008,665,15,14,0,0,0,0,0,0,0,0,0,0
2009,670,11,10,1,0,0,0,0,0,0,0,0,0
2010,698,15,14,1,0,0,0,0,0,0,0,0,0
2011,681,14,13,1,0,0,0,0,0,0,0,0,0
2012,682,14,13,1,0,0,0,0,0,0,0,0,0
2013,455,13,12,1,0,0,0,0,0,0,0,0,0
2014,659,19,15,3,0,0,0,0,0,0,0,0,0
2015,653,13,12,1,0,0,0,0,0,0,0,0,0
2016,667,25,22,2,0,0,0,0,0,0,0,0,0
2017,689,19,19,0,0,0,0,0,0,0,0,0,0
2018,677,24,24,0,0,0,0,0,0,0,0,0,0
2019,339,9,8,1,0,0,0,0,0,0,0,0,0
2021,664,20,17,2,0,0,0,0,0,0,0,0,0
2022,617,18,17,0,0,0,0,0,0,0,0,0,0
2023,648,14,12,2,0,0,0,0,0,0,0,0,0
2024,636,22,22,0,0,0,0,0,0,0,0,0,0
2025,683,16,15,1,0,0,0,0,0,0,0,0,0
Average across years,623,16,15,1,0,0,0,0,0,0,0,0,0
