"Common_name","min_depth","min_depth_01","max_depth","max_depth_99","min_lat","min_lat_01","max_lat","max_lat_99"
"California scorpionfish",58.1854,58.730289,861.2023,296.063,32.40333333,32.5795499969,35.35083333,34.45399167
"Dover sole",55.3333,64.3297,1261.2144,1129.405042,31.99861111,32.68694444,48.46,48.2596277748
"English sole",55.3333,60.209315,535.5361,355.029317,32.57472222,32.801675,48.46,48.2919972182
"Pacific cod",55.5792,61.30456,285.2515,252.823389,39.17083333,42.5980083327,48.44444444,48.3985055555
"Pacific ocean perch",72.1416,116.86155,714.8932,459.379675,34.45111111,39.71138889,48.42277778,48.3068055575
"Pacific sanddab",55.3333,59.831186,535.5361,235.728548,32.07944444,32.72216111,48.42555556,48.1651333307
"Pacific spiny dogfish",56.6928,61.982425,1254.5466,466.15,32.58083333,32.8745138875,48.46,48.36347222
"arrowtooth flounder",56.024,65.614145,992.0066,525.778089999999,34.84166667,37.864194441,48.46,48.3540555565
"aurora rockfish",104.6491,258.982846,1021.0273,622.427767,32.05416667,32.6834472251,48.20638889,47.8647555583
"bank rockfish",94.1806,107.219934,507.2526,485.906611999999,32.09805556,32.6515222216,48.12027778,46.1514888883999
"big skate",55.3333,59.253216,459.2613,260.68688,32.64111111,34.2476,48.43277778,48.1490111112
"black rockfish",61.4866,61.643404,89.2,88.204,42.85944444,42.9083944404,47.31222222,47.2412555532
"blackgill rockfish",122.2351,190.2885,829.4,559.06504,32.07388889,32.395888892,48.06944444,45.576555552
"bocaccio",55.75,63.64473,456.6,332.52215,32.58888889,32.8097722204,48.38944444,48.2349388882
"cabezon",64.9,64.9,64.9,64.9,48.37027778,48.37027778,48.37027778,48.37027778
"canary rockfish",56.6928,63.260216,351.373,257.967162,32.61694444,35.2781555516,48.435,48.3379500026
"chilipepper",55.75,65.421125,463.646,364.897885,32.09805556,32.798875,48.16722222,45.78147222
"copper rockfish",76.7,76.747858,80.2464,80.22333,44.42527778,44.425288891,44.49416667,44.4928000032
"cowcod",61.6434,73.396972,522.1,300.728,32.58083333,32.6325722224,46.8025,43.6757500038
"darkblotched rockfish",69.8,96.052468,579.9,442.625668,33.55777778,35.0917333304,48.435,48.2953111136
"flathead sole",56.024,74.200779,462.1,327.990125,32.92138889,41.6058805555,48.45083333,48.3972583355
"greenspotted rockfish",62.2812,77.191525,535.5361,295.399375,32.40333333,32.5885416675,48.38944444,48.2433333325
"greenstriped rockfish",60.2,80.057664,535.5361,294.539153,32.07944444,32.7065694417,48.45083333,48.2573138878
"kelp greenling",63.3,63.772,164.8242,161.144488,46.26361111,46.28573611,48.37027778,48.3697861094
"lingcod north",56,62.57042,399.997,323.93048,40.17194444,40.468111108,48.43666667,48.326833334
"lingcod south",55.75,60.237498,750.3,365.628,32.6,33.4223388882,40.16055556,40.0542999982
"longnose skate",56,65.1,1227.1542,821.241688,32.03027778,32.7723777792,48.46,48.2953444472
"longspine thornyhead",83.7,360.742533,1271.1034,1237.605307,31.99861111,32.4605111131,48.28777778,47.9296361124
"petrale sole",55.3333,60.761076,540.9428,394.83891,32.54611111,33.6740388912,48.46,48.2954055588
"quillback rockfish",60.8724,62.261376,398.1441,214.874583999999,42.48722222,42.4880666636,48.44444444,48.4186888912
"redbanded rockfish",83.4957,140.4716,550.3712,420.044375,32.67166667,34.369375,48.45083333,48.311597225
"redstripe rockfish",66.2771,69.990488,376.1,276.767622,32.58083333,36.828400003,48.38944444,48.359399997
"rex sole",55.3333,62.16662,936.8734,606.9796,32.33527778,32.873166666,48.46,48.295472226
"rosethorn rockfish",60.8116,71.86747,502.8,404.85529,32.58416667,32.671416668,48.38944444,48.289055559
"rougheye and blackspotted rockfish",112.4,123.107275,864.9369,530.007225,33.57027778,37.9688750005,48.43277778,48.41668056
"sablefish",56,68.4,1268.4297,1200.408672,31.99861111,32.6903777752,48.46,48.2453111076
"sharpchin rockfish",76.3244,105.710615,464.8,411.98,33.13194444,34.334527777,48.42361111,48.319902779
"shortraker rockfish",299.8,300.142,554.5678,545.249596,34.98527778,36.5639277804,48.20777778,48.1931777802
"shortspine thornyhead",67.0615,155.9282,1271.0456,1225.98932,31.99861111,32.633999996,48.43861111,48.239555552
"silvergray rockfish",66.2771,71.22734,366,319.30556,38.71833333,39.176444442,48.26111111,48.237666666
"splitnose rockfish",67.7949,133.431141,703.8,515.039335,32.33166667,32.6820972259,48.42361111,48.1360638905
"squarespot rockfish",58.749,62.39124,535.5361,216.995,32.07944444,32.5861666639,47.33777778,42.0600833338999
"starry rockfish",62.1393,62.86548,199.3,189.617061,32.40333333,32.5508777739,37.95055556,37.73618056
"stripetail rockfish",58.6197,69.028842,490.9735,361.99352,32.33527778,32.7107888928,48.41805556,47.9573833336
"vermilion and sunset rockfish",58.1854,59.865,478.3292,251.185054,32.59055556,32.6136194415,45.82055556,40.8013555588
"widow rockfish",59.4,66.559,456.9101,373.153565,33.63444444,34.2754249996,48.38944444,48.2602916649
"yelloweye rockfish",63.5,76.704416,321.4525,248.30607,34.72277778,36.4727833312,48.38944444,48.3117888912
"yellowmouth rockfish",113.6444,122.363976,451.6965,450.992102,38.345,40.4774833318,48.32916667,48.2496888912
"yellowtail rockfish north",60.8724,68.688732,414.9,260.057581,40.185,40.4623083345,48.41555556,48.3458888916
"yellowtail rockfish south",60.2323,61.53969,254.2439,230.82883,33.79222222,34.20697222,40.05583333,40.00333333
