"","species","2019","2021","2022","2023","2024"
"1","arrowtooth flounder",754,1399,1601,1909,1747
"2","aurora rockfish",630,1554,1509,1402,1007
"3","bank rockfish",245,24,24,64,105
"4","big skate",180,334,549,407,201
"5","black rockfish",1,6,0,0,0
"6","blackgill rockfish",240,606,771,392,554
"7","bronzespotted rockfish",0,0,0,0,1
"8","brown rockfish",32,26,55,90,40
"9","butter sole",69,109,86,145,97
"10","cabezon",0,0,0,3,1
"11","calico rockfish",24,49,58,10,26
"12","California scorpionfish",215,335,465,243,326
"13","California skate",176,484,531,433,382
"14","canary rockfish",544,661,694,653,649
"15","copper rockfish",32,92,61,131,112
"16","curlfin sole",179,476,450,501,461
"17","darkblotched rockfish",822,1118,2310,2220,1983
"18","deepsea sole",535,1043,864,1050,820
"19","Dover sole",3034,5637,5325,5189,5466
"20","English sole",1413,2662,2481,2580,2385
"21","flag rockfish",19,1,7,30,9
"22","flathead sole",202,334,293,617,468
"23","freckled rockfish",0,0,0,0,0
"24","giant grenadier",590,899,841,1084,741
"25","gopher rockfish",0,0,0,0,0
"26","greenblotched rockfish",24,32,42,96,25
"27","greenspotted rockfish",208,356,412,380,492
"28","greenstriped rockfish",1167,2036,1841,1717,2014
"29","halfbanded rockfish",427,978,856,707,741
"30","harlequin rockfish",0,0,0,0,0
"31","honeycomb rockfish",14,7,4,1,3
"32","kelp greenling",6,32,46,40,34
"33","kelp rockfish",0,0,0,0,1
"34","longnose skate",1655,3242,3108,3276,2658
"35","longspine thornyhead",1962,4376,3789,4206,4327
"36","Mexican rockfish",1,23,10,7,6
"37","olive rockfish",0,0,4,0,1
"38","Pacific cod",69,24,77,189,114
"39","Pacific flatnose",120,189,196,199,170
"40","Pacific grenadier",641,1003,945,1047,855
"41","Pacific hake",1425,2480,2587,2259,1848
"42","Pacific ocean perch",345,821,1057,1117,941
"43","Pacific sanddab",1235,2343,2350,2280,2281
"44","Pacific spiny dogfish",489,759,788,763,598
"45","petrale sole",1797,3769,3457,3679,3353
"46","pink rockfish",0,2,0,20,4
"47","pinkrose rockfish",0,0,6,3,0
"48","Puget Sound rockfish",0,0,0,0,0
"49","pygmy rockfish",53,66,28,16,18
"50","quillback rockfish",16,12,13,5,23
"51","redbanded rockfish",116,226,179,309,209
"52","redstripe rockfish",168,310,213,233,134
"53","rex sole",2424,4119,4003,4046,4031
"54","rosethorn rockfish",227,779,532,650,704
"55","rosy rockfish",24,2,12,21,0
"56","sablefish",2226,6297,6187,6663,6794
"57","sand sole",42,134,54,106,67
"58","sharpchin rockfish",443,908,487,512,1195
"59","shortbelly rockfish",386,778,545,438,647
"60","shortraker rockfish",0,0,3,3,9
"61","shortspine thornyhead",2401,4690,4202,4608,4657
"62","silvergray rockfish",105,5,48,24,91
"63","soupfin shark",0,1,3,0,0
"64","southern rock sole",127,305,131,130,280
"65","speckled rockfish",4,0,5,25,1
"66","splitnose rockfish",1070,1999,2077,1628,1943
"67","spotted ratfish",1338,2495,2342,2267,1875
"68","squarespot rockfish",206,184,340,217,169
"69","starry flounder",13,16,29,41,30
"70","starry rockfish",16,0,5,2,12
"71","starry skate",12,28,36,23,23
"72","stripetail rockfish",1364,2514,1820,1816,2057
"73","swordspine rockfish",266,4,8,77,325
"74","tiger rockfish",0,0,1,0,0
"75","tree rockfish",0,0,0,0,0
"76","widow rockfish",219,66,125,159,485
"77","yelloweye rockfish",34,66,51,53,56
"78","yellowmouth rockfish",0,0,10,64,42
